drive,engine,exterior,fuel,interior,location,make,mileage,model,modification,mpg,name,price,transmission,url,vin,year
,,Black,,Gray,"Oconomowoc, WI",Kia,"37,850",Optima,LX,,2015 Kia Optima,"$13,200",,https://www.truecar.com/used-cars-for-sale/listing/5XXGM4A78FG378693/2015-kia-optima/,5XXGM4A78FG378693,2015
,,Crimson Red,,Gray W/Cloth Seat Trim Or Leather Seat Trim,"Kenosha, WI",Kia,"21,640",Forte,EX Automatic,,2015 Kia Forte,"$13,998",,https://www.truecar.com/used-cars-for-sale/listing/KNAFX4A85F5316858/2015-kia-forte/,KNAFX4A85F5316858,2015
,,Brilliant Silver Metallic,,Charcoal,"Stoughton, WI",Nissan,"43,072",Sentra,S Automatic,,2016 Nissan Sentra,"$10,798",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP7GY217230/2016-nissan-sentra/,3N1AB7AP7GY217230,2016
,,Blue,,,"Mequon, WI",Kia,"15,137",Forte,Automatic LX,,2016 Kia Forte,"$12,770",,https://www.truecar.com/used-cars-for-sale/listing/KNAFX4A61G5562421/2016-kia-forte/,KNAFX4A61G5562421,2016
,,Deep Sea Blue,,Black,"Madison, WI",Kia,"3,003",Forte,EX Automatic,,2017 Kia Forte,"$17,528",,https://www.truecar.com/used-cars-for-sale/listing/3KPFL4A81HE086838/2017-kia-forte/,3KPFL4A81HE086838,2017
,,Signal Red,,Black,"Stoughton, WI",Kia,"24,125",Rio,LX Automatic,,2017 Kia Rio,"$11,896",,https://www.truecar.com/used-cars-for-sale/listing/KNADM4A36H6005764/2017-kia-rio/,KNADM4A36H6005764,2017
,,Blue,,Black,"Madison, WI",Kia,"44,326",Optima,LX,,2016 Kia Optima,"$13,599",,https://www.truecar.com/used-cars-for-sale/listing/5XXGT4L30GG025962/2016-kia-optima/,5XXGT4L30GG025962,2016
,,Electric Blue,,Gray,"Rockford, IL",Hyundai,"22,275",Elantra,SE Automatic,,2017 Hyundai Elantra,"$12,872",,https://www.truecar.com/used-cars-for-sale/listing/5NPD74LF7HH199115/2017-hyundai-elantra/?zipcode=61109,5NPD74LF7HH199115,2017
,,Grey,,,"Waukesha, WI",Honda,"156,245",Civic,4dr Sedan L4 CVT w/Navi,,2010 Honda Civic Hybrid,"$7,786",,https://www.truecar.com/used-cars-for-sale/listing/JHMFA3F24AS006096/2010-honda-civic-hybrid/,JHMFA3F24AS006096,2010
,,Grey,,Steel Gray,"Madison, WI",Toyota,"44,006",Corolla,LE,,2016 Toyota Corolla,"$12,699",,https://www.truecar.com/used-cars-for-sale/listing/5YFBURHE9GP493310/2016-toyota-corolla/,5YFBURHE9GP493310,2016
